Inicial Upcard Acoes Final Valor DealerFinal
TA 2 - TA 21 223A
68 2 S 68 14 223A
QA 2 - QA 21 223A
2T 2 HS 2TA 13 223A
8K 5 S 8K 18 35J
3J 5 S 3J 13 35J
8J 5 S 8J 18 35J
3Q 5 S 3Q 13 35J
99 5 P 29 11 35J
99 5 P 9A 20 35J
9Q 5 S 9Q 19 35J
4K 5 S 4K 14 35J
TT 5 S TT 20 35J
4K 6 S 4K 14 67Q
3J 6 S 3J 13 67Q
9K 6 S 9K 19 67Q
TQ 6 S TQ 20 67Q
3Q 6 S 3Q 13 67Q
TQ 6 S TQ 20 67Q
8Q 6 S 8Q 18 67Q
JA Q - JA 21 6QQ
2K Q HS 25K 17 6QQ
6K Q HS 36K 19 6QQ
22 Q HH 228T 22 6QQ
77 Q HS 377 17 6QQ
8Q Q S 8Q 18 6QQ
9Q Q S 9Q 19 6QQ
JJ 4 S JJ 20 49K
JQ 4 S JQ 20 49K
49 4 S 49 13 49K
JA 4 - JA 21 49K
25 4 HD 245J 21 49K
JJ 4 S JJ 20 49K
6J 4 S 6J 16 49K
57 6 S 57 12 46A
89 6 S 89 17 46A
38 6 D 348 15 46A
39 6 S 39 12 46A
TK 6 S TK 20 46A
33 6 P 23 5 46A
36 6 HS 336 12 46A
58 6 S 58 13 46A
7Q 3 S 7Q 17 239J
26 3 HS 269 17 239J
5J 3 S 5J 15 239J
QA 3 - QA 21 239J
39 3 H 399 21 239J
79 3 S 79 16 239J
24 3 HS 24T 16 239J
29 T D 249 15 7T
9J T S 9J 19 7T
27 T HS 27T 19 7T
JQ T S JQ 20 7T
3T T HS 35T 18 7T
34 T HHHS 33455 20 7T
24 T HHS 224A 19 7T
3A A HHHS 233QA 19 8A
67 A H 678 21 8A
25 A HH 245Q 21 8A
6T A HS 26T 18 8A
5T A HS 45T 19 8A
6K A H 69K 25 8A
8A A S 8A 19 8A
KA 9 - KA 21 9Q
4T 9 HH 4TQA 25 9Q
9Q 9 S 9Q 19 9Q
2K 9 HS 26K 18 9Q
6A 9 HS 6TA 17 9Q
4K 9 HH 46KA 21 9Q
8Q 9 S 8Q 18 9Q
7A T HS 7TA 18 TA
57 T HHS 567A 19 TA
26 T HS 26Q 18 TA
26 T HH 2677 22 TA
3T T H 39T 22 TA
45 T HS 45T 19 TA
3T T HS 36T 19 TA
8J J S 8J 18 57J
5A J HHS 25QA 18 57J
6A J HH 56TA 22 57J
79 J HS 79A 17 57J
9T J S 9T 19 57J
8K J S 8K 18 57J
56 J D 56J 21 57J
78 4 S 78 15 469
47 4 D 477 18 469
46 4 D 46K 20 469
56 4 D 256 13 469
2Q 4 S 2Q 12 469
26 4 HD 236T 21 469
3J 4 S 3J 13 469
QK J S QK 20 JK
4A J H 46A 21 JK
39 J H 39Q 22 JK
8K J S 8K 18 JK
56 J D 56T 21 JK
2A J HHS 24JA 17 JK
QK J S QK 20 JK
JK 5 S JK 20 58K
5K 5 S 5K 15 58K
79 5 S 79 16 58K
2A 5 D 2AA 14 58K
57 5 S 57 12 58K
5J 5 S 5J 15 58K
3A 5 D 3TA 14 58K
3J Q HS 36J 19 2QK
2K Q HHS 233K 18 2QK
34 Q HS 34K 17 2QK
36 Q HHS 3368 20 2QK
48 Q HH 48JA 23 2QK
39 Q HH 349T 26 2QK
68 Q HS 668 20 2QK
59 J H 59Q 24 JA
89 J S 89 17 JA
78 J H 78T 25 JA
48 J H 489 21 JA
9K J S 9K 19 JA
JQ J S JQ 20 JA
35 J HH 3559 22 JA
4A A HH 4JKA 25 QA
5Q A H 58Q 23 QA
3J A HS 36J 19 QA
8T A S 8T 18 QA
49 A HHS 3349 19 QA
KA A - KA 21 QA
6J A H 6JK 26 QA
TK Q S TK 20 8Q
57 Q H 57T 22 8Q
39 Q H 39Q 22 8Q
9J Q S 9J 19 8Q
26 Q HHH 2256K 25 8Q
9T Q S 9T 19 8Q
47 Q D 47A 12 8Q
6K 3 S 6K 16 337T
7Q 3 S 7Q 17 337T
JA 3 - JA 21 337T
9A 3 S 9A 20 337T
3J 3 S 3J 13 337T
6K 3 S 6K 16 337T
67 3 S 67 13 337T
25 3 HD 25KA 18 2357
TJ 3 S TJ 20 2357
45 3 D 445 13 2357
27 3 D 237 12 2357
68 3 S 68 14 2357
47 3 D 457 16 2357
8J 3 S 8J 18 2357
2Q 9 H 2QK 22 29K
4Q 9 HS 44Q 18 29K
6K 9 H 6TK 26 29K
28 9 D 28J 20 29K
3A 9 HH 3TTA 24 29K
TK 9 S TK 20 29K
5T 9 HS 35T 18 29K
7A 6 D 37A 21 67J
4J 6 S 4J 14 67J
88 6 P 8Q 18 67J
78 6 S 78 15 67J
5Q 6 S 5Q 15 67J
3A 6 D 3TA 14 67J
8J 6 S 8J 18 67J
6K 6 S 6K 16 67J
2J Q H 2JK 22 5TQA
3Q Q H 39Q 22 5TQA
5K Q H 58K 23 5TQA
6K Q HS 36K 19 5TQA
4T Q HS 45T 19 5TQA
2A Q HS 26A 19 5TQA
7T Q S 7T 17 5TQA
9T 3 S 9T 19 368A
77 3 P 77 14 368A
67 3 S 67 13 368A
4T 3 S 4T 14 368A
3J 3 S 3J 13 368A
TJ 3 S TJ 20 368A
6T 3 S 6T 16 368A
2K 3 HS 26K 18 368A
4J 7 HS 34J 17 578A
8A 7 S 8A 19 578A
8A 7 S 8A 19 578A
89 7 S 89 17 578A
79 7 HS 79A 17 578A
6T 7 HS 6TA 17 578A
TK 7 S TK 20 578A
TT 7 S TT 20 279
5Q 7 H 5QK 25 279
47 7 D 447 15 279
4Q 7 HS 34Q 17 279
JQ 7 S JQ 20 279
JK 7 S JK 20 279
37 7 D 377 17 279
8Q 2 S 8Q 18 2248A
8A 2 S 8A 19 2248A
7Q 2 S 7Q 17 2248A
23 2 HH 237K 22 2248A
3K 2 S 3K 13 2248A
33 2 HS 337 13 2248A
44 2 HHS 3444 15 2248A
2K 5 S 2K 12 25JA
4A 5 D 49A 14 25JA
38 5 D 338 14 25JA
2T 5 S 2T 12 25JA
39 5 S 39 12 25JA
3A 5 D 3JA 14 25JA
2A 5 D 24A 17 25JA
57 4 S 57 12 4QQ
QA 4 - QA 21 4QQ
27 4 D 267 15 4QQ
3K 4 S 3K 13 4QQ
3T 4 S 3T 13 4QQ
47 4 D 467 17 4QQ
45 4 D 345 12 4QQ
46 8 D 456 15 458
38 8 D 388 19 458
57 8 H 579 21 458
9J 8 S 9J 19 458
JJ 8 S JJ 20 458
7K 8 S 7K 17 458
68 8 H 68J 24 458
24 T HHS 2456 17 TK
79 T H 79Q 26 TK
AA T P 4A 15 TK
3A T - 3A 14 TK
77 T H 779 23 TK
48 T HH 489A 22 TK
4K T HH 246K 22 TK
49 T HS 459 18 TK
57 2 H 57K 22 27A
24 2 HS 249 15 27A
7J 2 S 7J 17 27A
89 2 S 89 17 27A
TQ 2 S TQ 20 27A
28 2 D 268 16 27A
46 2 D 446 14 27A
3Q 5 S 3Q 13 56K
8A 5 S 8A 19 56K
6A 5 D 6AA 18 56K
9Q 5 S 9Q 19 56K
34 5 HS 345 12 56K
88 5 P 68 14 56K
78 5 S 78 15 56K
58 5 S 58 13 56K
QA 3 - QA 21 333K
26 3 HS 26A 19 333K
6J 3 S 6J 16 333K
JQ 3 S JQ 20 333K
8A 3 S 8A 19 333K
55 3 D 55K 20 333K
38 3 D 238 13 333K
KA 9 - KA 21 9Q
4J 9 HS 45J 19 9Q
68 9 H 68Q 24 9Q
7Q 9 S 7Q 17 9Q
47 9 D 47K 21 9Q
8T 9 S 8T 18 9Q
78 9 H 789 24 9Q
49 J HH 349T 26 8J
KA J - KA 21 8J
4A J HS 44A 19 8J
3Q J HS 34Q 17 8J
9K J S 9K 19 8J
26 J HS 26A 19 8J
88 J P 38 11 8J
8T J S 8T 18 8J
27 8 HS 27K 19 28A
4J 8 H 48J 22 28A
7K 8 S 7K 17 28A
3T 8 H 38T 21 28A
7Q 8 S 7Q 17 28A
9J 8 S 9J 19 28A
6A 8 HS 6AA 18 28A
24 J HH 24TK 26 9J
9A J S 9A 20 9J
26 J HHH 246JA 23 9J
23 J HHS 234J 19 9J
58 J HS 568 19 9J
58 J H 58Q 23 9J
9J J S 9J 19 9J
9A 5 S 9A 20 2599
2J 5 S 2J 12 2599
48 5 S 48 12 2599
TA 5 - TA 21 2599
2J 5 S 2J 12 2599
9T 5 S 9T 19 2599
37 5 D 357 15 2599
2T A H 29T 21 KA
77 A HS 477 18 KA
23 A HHS 234Q 19 KA
58 A HHS 458A 18 KA
JA A - JA 21 KA
3Q A HS 36Q 19 KA
27 A HS 27T 19 KA
QK Q S QK 20 45Q
5A Q HS 35A 19 45Q
4A Q HHS 34AA 19 45Q
7T Q S 7T 17 45Q
79 Q HS 379 19 45Q
7J Q S 7J 17 45Q
JA Q - JA 21 45Q
6T T H 69T 25 233T
4K T H 47K 21 233T
JQ T S JQ 20 233T
8K T S 8K 18 233T
56 T D 356 14 233T
26 T HS 269 17 233T
9A T S 9A 20 233T
39 4 S 39 12 2499
58 4 S 58 13 2499
3A 4 H 37A 21 2499
8Q 4 S 8Q 18 2499
6J 4 S 6J 16 2499
TQ 4 S TQ 20 2499
QK 4 S QK 20 2499
57 2 HS 357 15 29J
49 2 S 49 13 29J
8K 2 S 8K 18 29J
8A 2 S 8A 19 29J
37 2 D 37A 21 29J
5Q 2 S 5Q 15 29J
JQ 2 S JQ 20 29J
3J 8 HH 33JJ 26 8A
3A 8 HH 3TKA 24 8A
34 8 HS 34T 17 8A
5J 8 HHS 25JA 18 8A
57 8 HS 578 20 8A
27 8 HD 227T 21 8A
27 8 HS 278 17 8A
6T J H 6TQ 26 7J
4Q J H 4QQ 24 7J
29 J D 229 13 7J
2Q J HS 26Q 18 7J
27 J HHH 23457 21 7J
KK J S KK 20 7J
44 J HHS 244T 20 7J
6K K HS 36K 19 JK
6Q K H 68Q 24 JK
3J K H 3JQ 23 JK
4A K HHS 44JA 19 JK
TA K - TA 21 JK
58 K H 58Q 23 JK
2Q K HS 28Q 20 JK
57 A HS 567 18 568A
23 A HH 2379 21 568A
44 A HHHS 24444 18 568A
26 A HS 269 17 568A
44 A HS 44A 19 568A
6K A H 67K 23 568A
5J A HS 45J 19 568A
69 2 S 69 15 27K
34 2 HS 34J 17 27K
9Q 2 S 9Q 19 27K
24 2 HHS 247A 14 27K
7J 2 S 7J 17 27K
2J 2 HS 23J 15 27K
58 2 S 58 13 27K
39 3 HS 389 20 2388
6J 3 S 6J 16 2388
2J 3 HS 2JA 13 2388
29 3 D 29T 21 2388
TA 3 - TA 21 2388
89 3 S 89 17 2388
3J 3 S 3J 13 2388
4A 2 HS 48A 13 27A
JK 2 S JK 20 27A
TJ 2 S TJ 20 27A
4T 2 S 4T 14 27A
3Q 2 S 3Q 13 27A
2K 2 HS 25K 17 27A
4A 2 HS 4JA 15 27A
89 2 S 89 17 2579
7Q 2 S 7Q 17 2579
5T 2 S 5T 15 2579
47 2 D 47K 21 2579
34 2 HD 3348 18 2579
8A 2 S 8A 19 2579
35 2 HS 356 14 2579
2J 3 HS 27J 19 36T
9J 3 S 9J 19 36T
7Q 3 S 7Q 17 36T
2K 3 H 2JK 22 36T
9A 3 S 9A 20 36T
7T 3 S 7T 17 36T
2K 3 H 29K 21 36T
57 7 H 57Q 22 7T
49 7 HS 449 17 7T
4J 7 H 4TJ 24 7T
6K 7 HS 26K 18 7T
4T 7 H 4TK 24 7T
TK 7 S TK 20 7T
7Q 7 S 7Q 17 7T
9Q J S 9Q 19 3JQA
7J J S 7J 17 3JQA
44 J HHH 2444Q 24 3JQA
35 J HD 3335 14 3JQA
5K J H 5JK 25 3JQA
8A J S 8A 19 3JQA
58 J H 588 21 3JQA
44 3 HS 448 16 234QA
59 3 S 59 14 234QA
4J 3 S 4J 14 234QA
8K 3 S 8K 18 234QA
7Q 3 S 7Q 17 234QA
3Q 3 S 3Q 13 234QA
8J 3 S 8J 18 234QA
34 J HH 334A 21 JJ
56 J D 56T 21 JJ
58 J HS 578 20 JJ
59 J HS 359 17 JJ
99 J S 99 18 JJ
45 J HHH 24555 21 JJ
6Q J H 6QK 26 JJ
9Q 2 S 9Q 19 27A
35 2 HS 358 16 27A
9J 2 S 9J 19 27A
TJ 2 S TJ 20 27A
9K 2 S 9K 19 27A
3J 2 S 3J 13 27A
33 2 HD 334K 20 27A
KA Q - KA 21 8Q
66 Q HH 66JA 23 8Q
67 Q H 67K 23 8Q
89 Q S 89 17 8Q
8A Q S 8A 19 8Q
TJ Q S TJ 20 8Q
KA Q - KA 21 8Q
JA 2 - JA 21 268K
59 2 S 59 14 268K
6K 2 S 6K 16 268K
45 2 HS 455 14 268K
7A 2 S 7A 18 268K
69 2 S 69 15 268K
2Q 2 HS 24Q 16 268K
TQ 9 S TQ 20 89
66 9 HS 566 17 89
24 9 HD 2457 18 89
56 9 D 56Q 21 89
TA 9 - TA 21 89
22 9 HHHHHS 222334A 17 89
5T 9 HS 45T 19 89
26 9 HS 26J 18 479
5J 9 H 5TJ 25 479
47 9 D 479 20 479
8J 9 S 8J 18 479
2A 9 HHHS 224AA 20 479
6A 9 HH 67KA 24 479
8J 9 S 8J 18 479
58 T HHH 58KAA 25 TT
TQ T S TQ 20 TT
2J T HH 229J 23 TT
56 T D 256 13 TT
6K T HS 6KA 17 TT
59 T H 599 23 TT
8A T S 8A 19 TT
36 J HHS 3456 18 JA
58 J H 58Q 23 JA
88 J P 38 11 JA
78 J HS 278 17 JA
56 J D 256 13 JA
9J J S 9J 19 JA
4K J HS 46K 20 JA
33 J HH 338Q 24 JA
TJ 7 S TJ 20 247Q
6A 7 HH 678A 22 247Q
TJ 7 S TJ 20 247Q
4K 7 H 4QK 24 247Q
2J 7 HHH 23JJA 26 247Q
45 7 HH 455J 24 247Q
3T 7 HHH 23TJA 26 247Q
56 A HH 256T 23 TA
4J A HHS 44JA 19 TA
2J A HS 25J 17 TA
7K A S 7K 17 TA
59 A H 589 22 TA
44 A HH 448K 26 TA
3Q A H 38Q 21 TA
8Q 3 S 8Q 18 3446
6T 3 S 6T 16 3446
6K 3 S 6K 16 3446
8Q 3 S 8Q 18 3446
5A 3 HS 57A 13 3446
3A 3 HD 33TA 17 3446
3J 3 S 3J 13 3446
9Q 4 S 9Q 19 4445
5J 4 S 5J 15 4445
KK 4 S KK 20 4445
9K 4 S 9K 19 4445
9Q 4 S 9Q 19 4445
79 4 S 79 16 4445
39 4 S 39 12 4445
67 6 S 67 13 467A
9K 6 S 9K 19 467A
28 6 D 28A 21 467A
58 6 S 58 13 467A
26 6 HS 26K 18 467A
35 6 HS 358 16 467A
7Q 6 S 7Q 17 467A
JA T - JA 21 8T
KA T - KA 21 8T
5A T HH 569A 21 8T
9J T S 9J 19 8T
2A T HHS 224A 19 8T
8K T S 8K 18 8T
55 T HH 255K 22 8T
49 T H 49Q 23 TT
2T T HHS 24TA 17 TT
5J T HS 45J 19 TT
59 T HS 359 17 TT
KK T S KK 20 TT
46 T HS 468 18 TT
68 T H 678 21 TT
66 Q HHH 2666A 21 233Q
26 Q HH 2568 21 233Q
34 Q HS 34Q 17 233Q
2K Q H 2QK 22 233Q
JQ Q S JQ 20 233Q
5K Q HS 55K 20 233Q
88 Q P 8A 19 233Q
8J Q S 8J 18 233Q
JA J - JA 21 JK
36 J HH 3678 24 JK
8J J S 8J 18 JK
4T J H 4TK 24 JK
78 J H 788 23 JK
3K J HHS 234K 19 JK
JQ J S JQ 20 JK
2J 8 HHS 244J 20 89
49 8 HS 459 18 89
57 8 HH 4579 25 89
5J 8 H 5TJ 25 89
78 8 HS 478 19 89
8T 8 S 8T 18 89
78 8 H 78Q 25 89
6J 8 HS 46J 20 38J
9A 8 S 9A 20 38J
3T 8 H 3TJ 23 38J
33 8 HHS 333K 19 38J
7T 8 S 7T 17 38J
5T 8 H 5TQ 25 38J
3A 8 HS 34A 18 38J
58 9 H 588 21 9J
47 9 D 47T 21 9J
6A 9 HHS 369A 19 9J
8K 9 S 8K 18 9J
27 9 HS 27A 20 9J
7T 9 S 7T 17 9J
3T 9 HS 34T 17 9J
4Q 3 S 4Q 14 36A
JQ 3 S JQ 20 36A
49 3 S 49 13 36A
29 3 D 269 17 36A
68 3 S 68 14 36A
23 3 HH 235A 21 36A
58 3 S 58 13 36A
5J Q HS 45J 19 29Q
3K Q HHS 36KA 20 29Q
4K Q H 4JK 24 29Q
5K Q H 59K 24 29Q
5T Q H 5TQ 25 29Q
KA Q - KA 21 29Q
3T Q HS 34T 17 29Q
9J K S 9J 19 TK
56 K D 56T 21 TK
36 K HH 3678 24 TK
7J K S 7J 17 TK
2T K HS 26T 18 TK
47 K D 478 19 TK
27 K HS 279 18 TK
27 7 HS 27Q 19 27Q
QQ 7 S QQ 20 27Q
TK 7 S TK 20 27Q
9K 7 S 9K 19 27Q
79 7 H 79J 26 27Q
9J 7 S 9J 19 27Q
44 7 HHH 4479A 25 27Q
6Q 7 H 66Q 22 2679
3K 7 H 38K 21 2679
8J 7 S 8J 18 2679
6K 7 H 6TK 26 2679
KA 7 - KA 21 2679
6J 7 H 6JJ 26 2679
59 7 HH 589A 23 2679
5J 3 S 5J 15 399
2A 3 HS 2TA 13 399
49 3 S 49 13 399
46 3 D 46J 20 399
7Q 3 S 7Q 17 399
5A 3 HD 25AA 19 399
5Q 3 S 5Q 15 399
QA 4 - QA 21 4TQ
34 4 HS 349 16 4TQ
26 4 HS 256 13 4TQ
6Q 4 S 6Q 16 4TQ
2A 4 HS 27A 20 4TQ
4K 4 S 4K 14 4TQ
48 4 S 48 12 4TQ
9A 5 S 9A 20 355T
79 5 S 79 16 355T
36 5 D 367 16 355T
7A 5 D 79A 17 355T
3J 5 S 3J 13 355T
7J 5 S 7J 17 355T
5J 5 S 5J 15 355T
QK J S QK 20 26J
6A J HS 6KA 17 26J
5K J H 5QK 25 26J
5A J HHH 3557A 21 26J
TK J S TK 20 26J
TK J S TK 20 26J
6T J H 6TQ 26 26J
QQ 3 S QQ 20 37J
9K 3 S 9K 19 37J
TK 3 S TK 20 37J
69 3 S 69 15 37J
79 3 S 79 16 37J
25 3 HS 259 16 37J
6A 3 D 69A 16 37J
6T 7 HS 26T 18 7Q
KA 7 - KA 21 7Q
4A 7 HHS 24KA 17 7Q
3Q 7 H 38Q 21 7Q
6Q 7 HS 26Q 18 7Q
6T 7 H 69T 25 7Q
2T 7 H 2TJ 22 7Q
23 8 HH 23TJ 25 489
5Q 8 H 59Q 24 489
9A 8 S 9A 20 489
2K 8 H 29K 21 489
TT 8 S TT 20 489
35 8 HS 35T 18 489
3T 8 H 3TK 23 489
5Q 2 S 5Q 15 25K
67 2 S 67 13 25K
39 2 HS 369 18 25K
4Q 2 S 4Q 14 25K
4T 2 S 4T 14 25K
TQ 2 S TQ 20 25K
49 2 S 49 13 25K
38 K D 338 14 46K
35 K HH 358K 26 46K
5K K H 5QK 25 46K
7K K S 7K 17 46K
2J K H 2JQ 22 46K
5J K H 57J 22 46K
7A K H 37A 21 46K
9K A S 9K 19 6A
79 A H 79K 26 6A
9Q A S 9Q 19 6A
TA A - TA 21 6A
38 A H 38Q 21 6A
24 A HHS 224J 18 6A
23 A HH 237Q 22 6A
QA 9 - QA 21 89
2Q 9 H 2QK 22 89
78 9 HS 578 20 89
TJ 9 S TJ 20 89
5J 9 H 58J 23 89
9K 9 S 9K 19 89
8T 9 S 8T 18 89
35 6 HD 2358 18 269
2T 6 S 2T 12 269
5Q 6 S 5Q 15 269
QQ 6 S QQ 20 269
77 6 P 7J 17 269
57 6 S 57 12 269
3J 6 S 3J 13 269
26 6 HS 26K 18 269
4A 9 HH 47JA 22 9J
79 9 H 789 24 9J
6T 9 H 6TT 26 9J
37 9 D 379 19 9J
23 9 HHS 2339 17 9J
6J 9 H 56J 21 9J
88 9 P 8K 18 9J
8K 9 S 8K 18 9J
45 2 HS 458 17 28K
QK 2 S QK 20 28K
JA 2 - JA 21 28K
5K 2 S 5K 15 28K
8J 2 S 8J 18 28K
JQ 2 S JQ 20 28K
8J 2 S 8J 18 28K
27 5 D 267 15 58K
23 5 HD 2356 16 58K
3J 5 S 3J 13 58K
5T 5 S 5T 15 58K
2A 5 D 25A 18 58K
7T 5 S 7T 17 58K
JJ 5 S JJ 20 58K
8A 4 S 8A 19 48JA
TA 4 - TA 21 48JA
66 4 P 6T 16 48JA
56 4 HS 567 18 48JA
7K 4 S 7K 17 48JA
4K 4 S 4K 14 48JA
4K 4 S 4K 14 48JA
88 4 P 88 16 48JA
68 4 S 68 14 48JA
QK A S QK 20 7AA
48 A HHS 448A 17 7AA
TQ A S TQ 20 7AA
22 A HHH 2224A 21 7AA
49 A HS 459 18 7AA
8J A S 8J 18 7AA
89 A S 89 17 7AA
36 3 D 369 18 3478
JK 3 S JK 20 3478
TQ 3 S TQ 20 3478
QK 3 S QK 20 3478
3Q 3 S 3Q 13 3478
3J 3 S 3J 13 3478
27 3 D 247 13 3478
8T J S 8T 18 7J
46 J HS 46T 20 7J
77 J HHS 477A 19 7J
4K J H 48K 22 7J
4T J H 4TJ 24 7J
2Q J HHS 235Q 20 7J
68 J H 68J 24 7J
29 K D 289 19 JK
33 K HHS 3338 17 JK
78 K H 78T 25 JK
4Q K H 4JQ 24 JK
79 K HS 379 19 JK
8A K S 8A 19 JK
4K K H 47K 21 JK
4Q A HS 46Q 20 558A
5T A HS 45T 19 558A
69 A H 689 23 558A
56 A HS 567 18 558A
2K A H 29K 21 558A
57 A HH 257K 24 558A
9J A S 9J 19 558A
88 J P 58 13 3JK
48 J HH 348T 25 3JK
3K J H 3JK 23 3JK
7Q J S 7Q 17 3JK
8A J S 8A 19 3JK
3K J H 3KK 23 3JK
4Q J H 47Q 21 3JK
28 J HHS 2348 17 3JK
TT 6 S TT 20 678
56 6 D 569 20 678
37 6 D 37Q 20 678
29 6 D 29Q 21 678
3K 6 S 3K 13 678
5T 6 S 5T 15 678
TA 6 - TA 21 678
79 5 S 79 16 55JA
5Q 5 S 5Q 15 55JA
4K 5 S 4K 14 55JA
2A 5 D 28A 21 55JA
33 5 P 34 7 55JA
3Q 5 S 3Q 13 55JA
8T 5 S 8T 18 55JA
23 5 HHS 2239 16 55JA
5Q 3 S 5Q 15 3TQ
7A 3 D 79A 17 3TQ
4K 3 S 4K 14 3TQ
26 3 HD 2256 15 3TQ
78 3 S 78 15 3TQ
44 3 HS 44K 18 3TQ
9J 3 S 9J 19 3TQ
77 J H 779 23 9J
2T J H 2TT 22 9J
3K J HHS 223K 17 9J
66 J HH 668A 21 9J
25 J HHS 2258 17 9J
2A J HH 2JJA 23 9J
8A J S 8A 19 9J
23 A HH 23JQ 25 6TAA
22 A HHHS 22257 18 6TAA
58 A HH 58JA 24 6TAA
49 A H 49T 23 6TAA
2K A HH 237K 22 6TAA
9K A S 9K 19 6TAA
47 A HS 467 17 6TAA
4Q 6 S 4Q 14 467
2A 6 D 22A 15 467
9T 6 S 9T 19 467
48 6 S 48 12 467
69 6 S 69 15 467
5T 6 S 5T 15 467
9K 6 S 9K 19 467
55 5 D 555 15 35A
4J 5 S 4J 14 35A
3T 5 S 3T 13 35A
7K 5 S 7K 17 35A
TA 5 - TA 21 35A
7K 5 S 7K 17 35A
6Q 5 S 6Q 16 35A
49 K H 49Q 23 55KA
JA K - JA 21 55KA
47 K D 47K 21 55KA
3A K HH 38JA 22 55KA
TQ K S TQ 20 55KA
78 K H 789 24 55KA
66 K HS 566 17 55KA
JA J - JA 21 JQ
33 J HD 3358 19 JQ
7A J HS 7KA 18 JQ
6Q J H 6JQ 26 JQ
4A J HH 489A 22 JQ
4T J HS 44T 18 JQ
4J J H 47J 21 JQ
8Q 9 S 8Q 18 9Q
9A 9 S 9A 20 9Q
3A 9 HHS 36TA 20 9Q
68 9 HS 468 18 9Q
3K 9 HH 338K 24 9Q
29 9 D 29Q 21 9Q
TQ 9 S TQ 20 9Q
8Q A S 8Q 18 QA
5K A HH 56KA 22 QA
JQ A S JQ 20 QA
9J A S 9J 19 QA
28 A HS 28Q 20 QA
JA A - JA 21 QA
JQ A S JQ 20 QA
23 6 HS 23J 15 677
4T 6 S 4T 14 677
9K 6 S 9K 19 677
9Q 6 S 9Q 19 677
49 6 S 49 13 677
8T 6 S 8T 18 677
5K 6 S 5K 15 677
28 5 D 258 15 25A
69 5 S 69 15 25A
39 5 S 39 12 25A
4K 5 S 4K 14 25A
8Q 5 S 8Q 18 25A
5A 5 D 59A 15 25A
4J 5 S 4J 14 25A
66 4 P 66 12 3447
6T 4 S 6T 16 3447
TA 4 - TA 21 3447
JA 4 - JA 21 3447
2K 4 S 2K 12 3447
2A 4 H 28A 21 3447
7A 4 D 7JA 18 3447
68 4 S 68 14 3447
2J Q H 2JJ 22 QQ
89 Q S 89 17 QQ
3J Q HH 238J 23 QQ
68 Q H 68Q 24 QQ
5A Q HH 59KA 25 QQ
6A Q HHS 6QAA 18 QQ
TQ Q S TQ 20 QQ
3K 3 S 3K 13 36TAA
TJ 3 S TJ 20 36TAA
8K 3 S 8K 18 36TAA
JK 3 S JK 20 36TAA
58 3 S 58 13 36TAA
4A 3 HHS 4JAA 16 36TAA
58 3 S 58 13 36TAA
2T Q HS 26T 18 QQ
38 Q D 378 18 QQ
JQ Q S JQ 20 QQ
55 Q HH 555J 25 QQ
5T Q H 5TQ 25 QQ
2T Q HHHS 26TAA 20 QQ
34 Q HD 3448 19 QQ
2J 9 HS 27J 19 59T
8Q 9 S 8Q 18 59T
33 9 HHS 233J 18 59T
23 9 HH 239T 24 59T
3J 9 H 38J 21 59T
9K 9 S 9K 19 59T
5Q 9 H 56Q 21 59T
7K A S 7K 17 QA
36 A HHS 3456 18 QA
3K A HS 35K 18 QA
66 A HS 566 17 QA
2Q A HS 25Q 17 QA
5Q A H 5QQ 25 QA
TA A - TA 21 QA
29 6 D 29K 21 6A
66 6 P 6T 16 6A
6Q 6 S 6Q 16 6A
2A 6 D 28A 21 6A
3Q 6 S 3Q 13 6A
3A 6 D 3QA 14 6A
9T 6 S 9T 19 6A
6A 6 D 69A 16 6A
6J T HS 26J 18 27T
89 T S 89 17 27T
5A T HHS 457A 17 27T
7A T HS 79A 17 27T
45 T HS 45T 19 27T
8T T S 8T 18 27T
67 T H 67Q 23 27T
3A 3 HS 3TA 14 3TK
9A 3 S 9A 20 3TK
KA 3 - KA 21 3TK
4T 3 S 4T 14 3TK
29 3 D 259 16 3TK
3K 3 S 3K 13 3TK
7K 3 S 7K 17 3TK
29 Q D 29Q 21 44Q
6T Q H 6TK 26 44Q
59 Q HH 59TA 25 44Q
24 Q HH 2478 21 44Q
47 Q D 247 13 44Q
77 Q HS 377 17 44Q
38 Q D 388 19 44Q
2J 8 H 2JJ 22 89
67 8 HS 567 18 89
67 8 HS 677 20 89
JK 8 S JK 20 89
3J 8 HS 37J 20 89
7A 8 S 7A 18 89
25 8 HS 25A 18 89
7J 4 S 7J 17 478
TA 4 - TA 21 478
4K 4 S 4K 14 478
48 4 S 48 12 478
44 4 HS 44K 18 478
3J 4 S 3J 13 478
3K 4 S 3K 13 478
TT T S TT 20 TJ
37 T HH 357K 25 TJ
59 T H 59J 24 TJ
9Q T S 9Q 19 TJ
6T T H 66T 22 TJ
TK T S TK 20 TJ
9Q T S 9Q 19 TJ
38 K D 368 17 36K
TQ K S TQ 20 36K
8A K S 8A 19 36K
8K K S 8K 18 36K
TT K S TT 20 36K
8K K S 8K 18 36K
8T K S 8T 18 36K
68 2 S 68 14 28J
7A 2 S 7A 18 28J
78 2 S 78 15 28J
26 2 HS 268 16 28J
45 2 HH 345Q 22 28J
4T 2 S 4T 14 28J
89 2 S 89 17 28J
3T K H 3TK 23 7K
5J K H 5TJ 25 7K
QA K - QA 21 7K
8T K S 8T 18 7K
